user_id,avg_monthly_data_gb,avg_voice_minutes,avg_sms_count,current_plan,plan_cost_inr
2001,11.5,971.1,62,DataPlus,399
2002,28.5,786.4,95,DataPlus,399
2003,22.1,942.5,51,TalkMax,249
2004,18.2,900.1,95,UltraMax,599
2005,5.1,618.0,131,UltraMax,599
2006,5.1,925.8,150,UltraMax,599
2007,2.2,134.1,142,Basic,149
2008,26.1,236.2,170,UltraMax,599
2009,18.2,93.0,28,Basic,149
2010,21.4,359.1,35,TalkMax,249
2011,1.1,419.2,12,Basic,149
2012,29.1,307.8,159,TalkMax,249
2013,25.1,837.3,70,UltraMax,599
2014,6.8,388.9,186,UltraMax,599
2015,5.9,316.9,85,TalkMax,249
2016,5.9,565.6,27,DataPlus,399
2017,9.5,183.9,65,TalkMax,249
2018,16.0,812.1,169,DataPlus,399
2019,13.2,120.8,44,Basic,149
2020,9.1,987.5,61,Basic,149
2021,18.5,783.6,184,Basic,149
2022,4.6,238.8,133,UltraMax,599
2023,9.1,55.2,27,Basic,149
2024,11.3,824.7,27,DataPlus,399
2025,14.0,721.5,107,Basic,149
2026,23.7,742.6,43,TalkMax,249
2027,6.4,782.7,83,TalkMax,249
2028,15.7,120.3,29,UltraMax,599
2029,18.0,390.5,189,TalkMax,249
2030,1.9,160.1,74,DataPlus,399
2031,18.4,869.9,127,Basic,149
2032,5.5,642.1,91,UltraMax,599
2033,2.4,364.4,189,Basic,149
2034,28.5,110.4,128,Basic,149
2035,29.0,345.4,120,DataPlus,399
2036,24.3,358.9,26,TalkMax,249
2037,9.5,743.1,189,TalkMax,249
2038,3.4,655.7,120,Basic,149
2039,20.7,892.9,115,UltraMax,599
2040,13.5,498.6,2,TalkMax,249
2041,4.1,163.6,102,UltraMax,599
2042,15.1,727.6,197,TalkMax,249
2043,1.5,772.7,199,UltraMax,599
2044,27.3,583.2,154,DataPlus,399
2045,8.1,782.4,136,UltraMax,599
2046,20.0,519.1,61,DataPlus,399
2047,9.7,546.6,164,DataPlus,399
2048,15.8,456.2,50,UltraMax,599
2049,16.6,74.1,171,DataPlus,399
2050,6.0,152.5,151,Basic,149
